My Spark params as displayed in Assistant	My Default Value	< dif >	wm100 v3.2.34.25 (from cfg file)	< dif >	wm100 v3.2.37.20 (from cfg file)
gps1_y	0		gps1_y		gps1_y
gps1_z	-30		gps1_z		gps1_z
g_config_imu_gps[1]_mvo_offset_x	0		g_config_imu_gps[1]_mvo_offset_x		g_config_imu_gps[1]_mvo_offset_x
g_config_imu_gps[1]_mvo_offset_y	0		g_config_imu_gps[1]_mvo_offset_y		g_config_imu_gps[1]_mvo_offset_y
g_config_imu_gps[1]_mvo_offset_z	0		g_config_imu_gps[1]_mvo_offset_z		g_config_imu_gps[1]_mvo_offset_z
g_config_imu_gps[1]_rtk_gps_offset_a_x	0		g_config_imu_gps[1]_rtk_gps_offset_a_x		g_config_imu_gps[1]_rtk_gps_offset_a_x
g_config_imu_gps[1]_rtk_gps_offset_a_y	0		g_config_imu_gps[1]_rtk_gps_offset_a_y		g_config_imu_gps[1]_rtk_gps_offset_a_y
g_config_imu_gps[1]_rtk_gps_offset_a_z	0		g_config_imu_gps[1]_rtk_gps_offset_a_z		g_config_imu_gps[1]_rtk_gps_offset_a_z
g_config_imu_gps[1]_rtk_gps_offset_b_x	0		g_config_imu_gps[1]_rtk_gps_offset_b_x		g_config_imu_gps[1]_rtk_gps_offset_b_x
g_config_imu_gps[1]_rtk_gps_offset_b_y	0		g_config_imu_gps[1]_rtk_gps_offset_b_y		g_config_imu_gps[1]_rtk_gps_offset_b_y
g_config_imu_gps[1]_rtk_gps_offset_b_z	0		g_config_imu_gps[1]_rtk_gps_offset_b_z		g_config_imu_gps[1]_rtk_gps_offset_b_z
imu1_direction	0		imu1_direction		imu1_direction
imu2_x	20		imu2_x		imu2_x
imu2_y	10		imu2_y		imu2_y
imu2_z	20		imu2_z		imu2_z
gps2_x	0		gps2_x		gps2_x
gps2_y	0		gps2_y		gps2_y
gps2_z	-30		gps2_z		gps2_z
g_config_imu_gps[2]_mvo_offset_x	0		g_config_imu_gps[2]_mvo_offset_x		g_config_imu_gps[2]_mvo_offset_x
g_config_imu_gps[2]_mvo_offset_y	0		g_config_imu_gps[2]_mvo_offset_y		g_config_imu_gps[2]_mvo_offset_y
g_config_imu_gps[2]_mvo_offset_z	0		g_config_imu_gps[2]_mvo_offset_z		g_config_imu_gps[2]_mvo_offset_z
g_config_imu_gps[2]_rtk_gps_offset_a_x	0		g_config_imu_gps[2]_rtk_gps_offset_a_x		g_config_imu_gps[2]_rtk_gps_offset_a_x
g_config_imu_gps[2]_rtk_gps_offset_a_y	0		g_config_imu_gps[2]_rtk_gps_offset_a_y		g_config_imu_gps[2]_rtk_gps_offset_a_y
g_config_imu_gps[2]_rtk_gps_offset_a_z	0		g_config_imu_gps[2]_rtk_gps_offset_a_z		g_config_imu_gps[2]_rtk_gps_offset_a_z
g_config_imu_gps[2]_rtk_gps_offset_b_x	0		g_config_imu_gps[2]_rtk_gps_offset_b_x		g_config_imu_gps[2]_rtk_gps_offset_b_x
g_config_imu_gps[2]_rtk_gps_offset_b_y	0		g_config_imu_gps[2]_rtk_gps_offset_b_y		g_config_imu_gps[2]_rtk_gps_offset_b_y
g_config_imu_gps[2]_rtk_gps_offset_b_z	0		g_config_imu_gps[2]_rtk_gps_offset_b_z		g_config_imu_gps[2]_rtk_gps_offset_b_z
imu2_direction	0		imu2_direction		imu2_direction
fctrl_mode	6		fctrl_mode		fctrl_mode
g_config_miss_rtk_intelligence_orientation_enabled	0		g_config_miss_rtk_intelligence_orientation_enabled		g_config_miss_rtk_intelligence_orientation_enabled
g_config_miss_rtk_use_rtk_data	0		g_config_miss_rtk_use_rtk_data		g_config_miss_rtk_use_rtk_data
g_config_miss_rtk_rtk_exit_type	0		g_config_miss_rtk_rtk_exit_type		g_config_miss_rtk_rtk_exit_type
g_config_miss_rtk_gps_rtk_horiz_offset_max	10		g_config_miss_rtk_gps_rtk_horiz_offset_max		g_config_miss_rtk_gps_rtk_horiz_offset_max
g_config_miss_rtk_gps_to_rtk_slope	1		g_config_miss_rtk_gps_to_rtk_slope		g_config_miss_rtk_gps_to_rtk_slope
g_config_receiver_stick_mode	0		g_config_receiver_stick_mode		g_config_receiver_stick_mode
F_CHL_F1	16		F_CHL_F1		F_CHL_F1
F_CHL_F2	19		F_CHL_F2		F_CHL_F2
F_CHL_F3	255		F_CHL_F3		F_CHL_F3
F_CHL_F4	255		F_CHL_F4		F_CHL_F4
F_CHL_F5	255		F_CHL_F5		F_CHL_F5
F_CHL_F6	255		F_CHL_F6		F_CHL_F6
F_CHL_F7	255		F_CHL_F7		F_CHL_F7
F_CHL_F8	255		F_CHL_F8		F_CHL_F8
F_CHL_D_FREQ	50		F_CHL_D_FREQ		F_CHL_D_FREQ
F_CHL_D1_MAX_WIDTH	1920		F_CHL_D1_MAX_WIDTH		F_CHL_D1_MAX_WIDTH
F_CHL_D1_MIN_WIDTH	1120		F_CHL_D1_MIN_WIDTH		F_CHL_D1_MIN_WIDTH
F_CHL_D2_MAX_WIDTH	1920		F_CHL_D2_MAX_WIDTH		F_CHL_D2_MAX_WIDTH
F_CHL_D2_MIN_WIDTH	1120		F_CHL_D2_MIN_WIDTH		F_CHL_D2_MIN_WIDTH
F_CHL_D3_MAX_WIDTH	1920		F_CHL_D3_MAX_WIDTH		F_CHL_D3_MAX_WIDTH
F_CHL_D3_MIN_WIDTH	1120		F_CHL_D3_MIN_WIDTH		F_CHL_D3_MIN_WIDTH
F_CHL_D4_MAX_WIDTH	1920		F_CHL_D4_MAX_WIDTH		F_CHL_D4_MAX_WIDTH
F_CHL_D4_MIN_WIDTH	1120		F_CHL_D4_MIN_WIDTH		F_CHL_D4_MIN_WIDTH
F_CHL_D5_MAX_WIDTH	1920		F_CHL_D5_MAX_WIDTH		F_CHL_D5_MAX_WIDTH
F_CHL_D5_MIN_WIDTH	1120		F_CHL_D5_MIN_WIDTH		F_CHL_D5_MIN_WIDTH
F_CHL_D6_MAX_WIDTH	1920		F_CHL_D6_MAX_WIDTH		F_CHL_D6_MAX_WIDTH
F_CHL_D6_MIN_WIDTH	1120		F_CHL_D6_MIN_WIDTH		F_CHL_D6_MIN_WIDTH
F_CHL_D7_MAX_WIDTH	1920		F_CHL_D7_MAX_WIDTH		F_CHL_D7_MAX_WIDTH
F_CHL_D7_MIN_WIDTH	1120		F_CHL_D7_MIN_WIDTH		F_CHL_D7_MIN_WIDTH
F_CHL_D8_MAX_WIDTH	1920		F_CHL_D8_MAX_WIDTH		F_CHL_D8_MAX_WIDTH
F_CHL_D8_MIN_WIDTH	1120		F_CHL_D8_MIN_WIDTH		F_CHL_D8_MIN_WIDTH
F_CHL_MODE	0		F_CHL_MODE		F_CHL_MODE
F_CHL_SHUTTER_ACTIVE_OUTPUT	2000		F_CHL_SHUTTER_ACTIVE_OUTPUT		F_CHL_SHUTTER_ACTIVE_OUTPUT
F_CHL_SHUTTER_DEFAULT_OUTPUT	1000		F_CHL_SHUTTER_DEFAULT_OUTPUT		F_CHL_SHUTTER_DEFAULT_OUTPUT
F_CHL_SHUTTER_FREQ	50		F_CHL_SHUTTER_FREQ		F_CHL_SHUTTER_FREQ
F_CHL_SHUTTER_MS	1000		F_CHL_SHUTTER_MS		F_CHL_SHUTTER_MS
F_CHL_FARM_MAX_WIDTH	1920		F_CHL_FARM_MAX_WIDTH		F_CHL_FARM_MAX_WIDTH
F_CHL_FARM_MIN_WIDTH	940		F_CHL_FARM_MIN_WIDTH		F_CHL_FARM_MIN_WIDTH
F_CHL_FARM_FREQ	50		F_CHL_FARM_FREQ		F_CHL_FARM_FREQ
mass_running_exgcm_name_idx[0]	0		mass_running_exgcm_name_idx[0]		mass_running_exgcm_name_idx[0]
mass_running_exgcm_name_idx[1]	1		mass_running_exgcm_name_idx[1]		mass_running_exgcm_name_idx[1]
mass_running_exgcm_name_idx[2]	2		mass_running_exgcm_name_idx[2]		mass_running_exgcm_name_idx[2]
g_config_rc_cfg_dead_zone	3		g_config_rc_cfg_dead_zone		g_config_rc_cfg_dead_zone
g_config_rc_cfg_stop_motor_type	6		g_config_rc_cfg_stop_motor_type		g_config_rc_cfg_stop_motor_type
g_config_rc_cfg_rc_break_pause_time_ms	2500		g_config_rc_cfg_rc_break_pause_time_ms		g_config_rc_cfg_rc_break_pause_time_ms
g_config_bat_config_bat_limit_limit_delt_vol_min	100		g_config_bat_config_bat_limit_limit_delt_vol_min		g_config_bat_config_bat_limit_limit_delt_vol_min
g_config_bat_config_bat_limit_limit_delt_vol_max	800		g_config_bat_config_bat_limit_limit_delt_vol_max		g_config_bat_config_bat_limit_limit_delt_vol_max
g_config_bat_config_bat_limit_limit_delt_vol_weight	0.5		g_config_bat_config_bat_limit_limit_delt_vol_weight		g_config_bat_config_bat_limit_limit_delt_vol_weight
g_config_bat_config_bat_limit_limit_vol_min	3300		g_config_bat_config_bat_limit_limit_vol_min		g_config_bat_config_bat_limit_limit_vol_min
g_config_bat_config_bat_limit_limit_vol_max	3700		g_config_bat_config_bat_limit_limit_vol_max		g_config_bat_config_bat_limit_limit_vol_max
g_config_bat_config_bat_limit_limit_vol_weight	1.5		g_config_bat_config_bat_limit_limit_vol_weight		g_config_bat_config_bat_limit_limit_vol_weight
g_config_bat_config_bat_limit_limit_max_power_min	380		g_config_bat_config_bat_limit_limit_max_power_min		g_config_bat_config_bat_limit_limit_max_power_min
g_config_bat_config_bat_limit_limit_max_power_max	500		g_config_bat_config_bat_limit_limit_max_power_max		g_config_bat_config_bat_limit_limit_max_power_max
g_config_bat_config_bat_limit_limit_max_power_weight	1.5		g_config_bat_config_bat_limit_limit_max_power_weight		g_config_bat_config_bat_limit_limit_max_power_weight
g_config_bat_config_bat_limit_limit_temp_min	-10		g_config_bat_config_bat_limit_limit_temp_min		g_config_bat_config_bat_limit_limit_temp_min
g_config_bat_config_bat_limit_limit_temp_max	20		g_config_bat_config_bat_limit_limit_temp_max		g_config_bat_config_bat_limit_limit_temp_max
g_config_bat_config_bat_limit_limit_temp_weight	0.5		g_config_bat_config_bat_limit_limit_temp_weight		g_config_bat_config_bat_limit_limit_temp_weight
g_config_bat_config_bat_limit_limit_scale_min	0.400000005960464		g_config_bat_config_bat_limit_limit_scale_min		g_config_bat_config_bat_limit_limit_scale_min
g_config_bat_config_bat_limit_limit_scale_max	2.20000004768372		g_config_bat_config_bat_limit_limit_scale_max		g_config_bat_config_bat_limit_limit_scale_max
g_config_bat_config_bat_limit_limit_scale_weight	1		g_config_bat_config_bat_limit_limit_scale_weight		g_config_bat_config_bat_limit_limit_scale_weight
g_config_bat_config_bat_limit_limit_power_rate_capacity_min	10		g_config_bat_config_bat_limit_limit_power_rate_capacity_min		g_config_bat_config_bat_limit_limit_power_rate_capacity_min
g_config_bat_config_bat_limit_limit_power_rate_capacity_max	100		g_config_bat_config_bat_limit_limit_power_rate_capacity_max		g_config_bat_config_bat_limit_limit_power_rate_capacity_max
g_config_bat_config_bat_limit_limit_power_rate_capacity_weight	30		g_config_bat_config_bat_limit_limit_power_rate_capacity_weight		g_config_bat_config_bat_limit_limit_power_rate_capacity_weight
g_config_bat_config_bat_limit_limit_power_rate_temp_min	-10		g_config_bat_config_bat_limit_limit_power_rate_temp_min		g_config_bat_config_bat_limit_limit_power_rate_temp_min
g_config_bat_config_bat_limit_limit_power_rate_temp_max	20		g_config_bat_config_bat_limit_limit_power_rate_temp_max		g_config_bat_config_bat_limit_limit_power_rate_temp_max
g_config_bat_config_bat_limit_limit_power_rate_temp_weight	50		g_config_bat_config_bat_limit_limit_power_rate_temp_weight		g_config_bat_config_bat_limit_limit_power_rate_temp_weight
g_config_bat_config_bat_limit_limit_bat_current_after_overflow	36000		g_config_bat_config_bat_limit_limit_bat_current_after_overflow		g_config_bat_config_bat_limit_limit_bat_current_after_overflow
g_config_bat_config_bat_limit_limit_up_rate	0.5		g_config_bat_config_bat_limit_limit_up_rate		g_config_bat_config_bat_limit_limit_up_rate
g_config_bat_config_bat_limit_limit_down_rate	0.100000001490116		g_config_bat_config_bat_limit_limit_down_rate		g_config_bat_config_bat_limit_limit_down_rate
g_config_ahrs_debug_in_db[0]	0		g_config_ahrs_debug_in_db[0]		g_config_ahrs_debug_in_db[0]
g_config_ahrs_debug_in_db[1]	0		g_config_ahrs_debug_in_db[1]		g_config_ahrs_debug_in_db[1]
g_config_ahrs_debug_in_db[2]	0		g_config_ahrs_debug_in_db[2]		g_config_ahrs_debug_in_db[2]
g_config_ahrs_debug_in_db[3]	0		g_config_ahrs_debug_in_db[3]		g_config_ahrs_debug_in_db[3]
g_config_ahrs_debug_in_db[4]	0		g_config_ahrs_debug_in_db[4]		g_config_ahrs_debug_in_db[4]
g_config_iosd_cfg_cfg_func_enable	0		g_config_iosd_cfg_cfg_func_enable		g_config_iosd_cfg_cfg_func_enable
g_config_rc_lost_search_enable	0		g_config_rc_lost_search_enable		g_config_rc_lost_search_enable
g_config_rc_lost_search_retry_times	1		g_config_rc_lost_search_retry_times		g_config_rc_lost_search_retry_times
g_config_rc_lost_search_p2p_dis	5		g_config_rc_lost_search_p2p_dis		g_config_rc_lost_search_p2p_dis
g_config_rc_lost_search_search_vel	2		g_config_rc_lost_search_search_vel		g_config_rc_lost_search_search_vel
g_config_rc_cfg_rc_vib_enable	1		g_config_rc_cfg_rc_vib_enable		g_config_rc_cfg_rc_vib_enable
g_config_zenmuse_cfg_type	0		g_config_zenmuse_cfg_type		g_config_zenmuse_cfg_type
g_config_device_is_locked	0		g_config_device_is_locked		g_config_device_is_locked
g_cfg_debug_voltage_temp_for_calibrate	11300		g_cfg_debug_voltage_temp_for_calibrate		g_cfg_debug_voltage_temp_for_calibrate
g_cfg_debug_voltage_calibrate_state	0		g_cfg_debug_voltage_calibrate_state		g_cfg_debug_voltage_calibrate_state
g_cfg_debug_need_check_stick_channel_mapping	0		g_cfg_debug_need_check_stick_channel_mapping		g_cfg_debug_need_check_stick_channel_mapping
g_cfg_debug_need_send_imu_start_flag	0		g_cfg_debug_need_send_imu_start_flag		g_cfg_debug_need_send_imu_start_flag
g_cfg_debug_stick_calibrate_state	0		g_cfg_debug_stick_calibrate_state		g_cfg_debug_stick_calibrate_state
g_cfg_debug_imu_cali_state[0][1]	0		g_cfg_debug_imu_cali_state[0][1]		g_cfg_debug_imu_cali_state[0][1]
g_cfg_debug_imu_cali_state[1][1]	0		g_cfg_debug_imu_cali_state[1][1]		g_cfg_debug_imu_cali_state[1][1]
g_cfg_debug_imu_cali_state[2][1]	0		g_cfg_debug_imu_cali_state[2][1]		g_cfg_debug_imu_cali_state[2][1]
g_cfg_debug_req_compass_start_cali[0]	0		g_cfg_debug_req_compass_start_cali[0]		g_cfg_debug_req_compass_start_cali[0]
g_cfg_debug_req_compass_start_cali[1]	0		g_cfg_debug_req_compass_start_cali[1]		g_cfg_debug_req_compass_start_cali[1]
g_cfg_debug_req_compass_start_cali[2]	0		g_cfg_debug_req_compass_start_cali[2]		g_cfg_debug_req_compass_start_cali[2]
g_cfg_debug_req_compass_exit_cali[0]	0		g_cfg_debug_req_compass_exit_cali[0]		g_cfg_debug_req_compass_exit_cali[0]
g_cfg_debug_req_compass_exit_cali[1]	0		g_cfg_debug_req_compass_exit_cali[1]		g_cfg_debug_req_compass_exit_cali[1]
g_cfg_debug_req_compass_exit_cali[2]	0		g_cfg_debug_req_compass_exit_cali[2]		g_cfg_debug_req_compass_exit_cali[2]
g_cfg_debug_simulator_gps_svn	15		g_cfg_debug_simulator_gps_svn		g_cfg_debug_simulator_gps_svn
g_cfg_debug_simulator_mvo_flag	255		g_cfg_debug_simulator_mvo_flag		g_cfg_debug_simulator_mvo_flag
g_cfg_debug_simulator_gps_hdop	0.600000023841858		g_cfg_debug_simulator_gps_hdop		g_cfg_debug_simulator_gps_hdop
g_cfg_debug_simulator_gps_pdop	1		g_cfg_debug_simulator_gps_pdop		g_cfg_debug_simulator_gps_pdop
				< * >	g_cfg_debug_sim_ideal_sensor
g_cfg_debug_sim_rtk_gps_horiz_offset[0]	0		g_cfg_debug_sim_rtk_gps_horiz_offset[0]		g_cfg_debug_sim_rtk_gps_horiz_offset[0]
g_cfg_debug_sim_rtk_gps_horiz_offset[1]	0		g_cfg_debug_sim_rtk_gps_horiz_offset[1]		g_cfg_debug_sim_rtk_gps_horiz_offset[1]
g_cfg_debug_sim_rtk_gps_vert_offset	0		g_cfg_debug_sim_rtk_gps_vert_offset		g_cfg_debug_sim_rtk_gps_vert_offset
g_cfg_debug_sim_wall_enable	0		g_cfg_debug_sim_wall_enable		g_cfg_debug_sim_wall_enable
g_cfg_debug_sim_wall_pillarA[0]	30		g_cfg_debug_sim_wall_pillarA[0]		g_cfg_debug_sim_wall_pillarA[0]
g_cfg_debug_sim_wall_pillarA[1]	-5		g_cfg_debug_sim_wall_pillarA[1]		g_cfg_debug_sim_wall_pillarA[1]
g_cfg_debug_sim_wall_pillarB[0]	30		g_cfg_debug_sim_wall_pillarB[0]		g_cfg_debug_sim_wall_pillarB[0]
g_cfg_debug_sim_wall_pillarB[1]	5		g_cfg_debug_sim_wall_pillarB[1]		g_cfg_debug_sim_wall_pillarB[1]
g_cfg_debug_sim_wall_height	60		g_cfg_debug_sim_wall_height		g_cfg_debug_sim_wall_height
g_cfg_debug_simulator_check_motor	1		g_cfg_debug_simulator_check_motor		g_cfg_debug_simulator_check_motor
g_cfg_debug_simulator_gyro_acc_use_filter	0		g_cfg_debug_simulator_gyro_acc_use_filter		g_cfg_debug_simulator_gyro_acc_use_filter
				< * >	g_cfg_debug_simulator_recover_fdi
g_cfg_debug_force_flash_led	1		g_cfg_debug_force_flash_led		g_cfg_debug_force_flash_led
g_config_api_entry_cfg_channel	19		g_config_api_entry_cfg_channel	< * >	
g_config_api_entry_cfg_comp_sign	1		g_config_api_entry_cfg_comp_sign	< * >	
g_config_api_entry_cfg_value_sign	0		g_config_api_entry_cfg_value_sign	< * >	
g_config_api_entry_cfg_enable_mode	1		g_config_api_entry_cfg_enable_mode	< * >	g_config_followme_enable_mode
g_config_api_entry_cfg_abs_value	3000		g_config_api_entry_cfg_abs_value	< * >	
g_config_api_entry_cfg_authority_level	2		g_config_api_entry_cfg_authority_level	< * >	
g_config_api_entry_cfg_cheat_backdoor	1		g_config_api_entry_cfg_cheat_backdoor	< * >	
g_config_followme_enable_mode	1		g_config_followme_enable_mode	< * >	
g_config_followme_auto_recover	0		g_config_followme_auto_recover		g_config_followme_auto_recover
g_config_followme_enable_change_homepoint	1		g_config_followme_enable_change_homepoint		g_config_followme_enable_change_homepoint
g_config_followme_auto_gimbal_pitch	0		g_config_followme_auto_gimbal_pitch		g_config_followme_auto_gimbal_pitch
g_config_followme_enter_gps_level	5		g_config_followme_enter_gps_level		g_config_followme_enter_gps_level
g_config_followme_p_horiz_vel_ctrl	0.810000002384186		g_config_followme_p_horiz_vel_ctrl		g_config_followme_p_horiz_vel_ctrl
g_config_followme_slop_horiz_vel	2.79999995231628		g_config_followme_slop_horiz_vel		g_config_followme_slop_horiz_vel
g_config_followme_follow_me_wait	0		g_config_followme_follow_me_wait		g_config_followme_follow_me_wait
g_config_followme_follow_me_with_rc_cmd	0		g_config_followme_follow_me_with_rc_cmd		g_config_followme_follow_me_with_rc_cmd
g_config_followme_test_yaw_mode	0		g_config_followme_test_yaw_mode		g_config_followme_test_yaw_mode
g_config_landing_auto_landing_vel_L1	-1		g_config_landing_auto_landing_vel_L1		g_config_landing_auto_landing_vel_L1
g_config_landing_auto_landing_vel_L2	-3		g_config_landing_auto_landing_vel_L2		g_config_landing_auto_landing_vel_L2
g_config_landing_smart_landing_height_L1	0.5		g_config_landing_smart_landing_height_L1		g_config_landing_smart_landing_height_L1
g_config_landing_smart_landing_height_L2	2		g_config_landing_smart_landing_height_L2		g_config_landing_smart_landing_height_L2
g_config_landing_smart_landing_vel	-0.200000002980232		g_config_landing_smart_landing_vel		g_config_landing_smart_landing_vel
g_config_landing_exit_landing_ground_not_smooth_enable	1		g_config_landing_exit_landing_ground_not_smooth_enable		g_config_landing_exit_landing_ground_not_smooth_enable
g_config_landing_exit_landing_height	2		g_config_landing_exit_landing_height		g_config_landing_exit_landing_height
g_config_landing_exit_landing_enable	1		g_config_landing_exit_landing_enable		g_config_landing_exit_landing_enable
g_config_landing_adv_landing_enable	1		g_config_landing_adv_landing_enable		g_config_landing_adv_landing_enable
g_config_landing_smart_landing_by_1860_enable	0		g_config_landing_smart_landing_by_1860_enable		g_config_landing_smart_landing_by_1860_enable
g_config_landing_multi_low_limit_height_enable	0		g_config_landing_multi_low_limit_height_enable		g_config_landing_multi_low_limit_height_enable
g_config_landing_ctrl_gimbal_pitch_to_horiz_enable	1		g_config_landing_ctrl_gimbal_pitch_to_horiz_enable		g_config_landing_ctrl_gimbal_pitch_to_horiz_enable
				< * >	g_config_soar_config_soar_scale_down
				< * >	g_config_soar_config_vert_vel_err_threshold
				< * >	g_config_soar_config_soar_timer_threshold
				< * >	g_config_soar_config_soar_rc_scale_down
				< * >	g_config_mr_ctrl_soar_detection_enable
				< * >	g_config_soar_config_soar_delta_lift
basic_gain_roll	70		basic_gain_roll		basic_gain_roll
basic_gain_pitch	90		basic_gain_pitch		basic_gain_pitch
basic_gain_yaw	50		basic_gain_yaw		basic_gain_yaw
basic_gain_vertical	70		basic_gain_vertical		basic_gain_vertical
basic_gain_roll_usr (g_config_control_basic_roll)	100	< * >	basic_gain_roll_usr		basic_gain_roll_usr
basic_gain_pitch_usr (g_config_control_basic_pitch)	100	< * >	basic_gain_pitch_usr		basic_gain_pitch_usr
basic_gain_yaw_usr (g_config_control_basic_yaw)	100	< * >	basic_gain_yaw_usr		basic_gain_yaw_usr
basic_gain_vertical_usr (g_config_control_basic_thrust)	100	< * >	basic_gain_vertical_usr		basic_gain_vertical_usr
atti_gain (g_control_atti_tilt_gain_adj)	140	< * >	atti_gain		atti_gain
g_config_mr_ctrl_atti_tilt_k	8		g_config_mr_ctrl_atti_tilt_k		g_config_mr_ctrl_atti_tilt_k
g_config_mr_ctrl_atti_tilt_lead_fc	5		g_config_mr_ctrl_atti_tilt_lead_fc		g_config_mr_ctrl_atti_tilt_lead_fc
g_config_mr_ctrl_atti_tilt_lead_gain	3		g_config_mr_ctrl_atti_tilt_lead_gain		g_config_mr_ctrl_atti_tilt_lead_gain
g_config_mr_ctrl_atti_tors_gain_adj	100		g_config_mr_ctrl_atti_tors_gain_adj		g_config_mr_ctrl_atti_tors_gain_adj
g_config_mr_ctrl_atti_tors_k	7		g_config_mr_ctrl_atti_tors_k		g_config_mr_ctrl_atti_tors_k
g_config_mr_ctrl_atti_tors_lead_fc	6		g_config_mr_ctrl_atti_tors_lead_fc		g_config_mr_ctrl_atti_tors_lead_fc
g_config_mr_ctrl_atti_tors_lead_gain	2		g_config_mr_ctrl_atti_tors_lead_gain		g_config_mr_ctrl_atti_tors_lead_gain
g_config_mr_ctrl_ang_vel_tilt_gain_adj	100		g_config_mr_ctrl_ang_vel_tilt_gain_adj		g_config_mr_ctrl_ang_vel_tilt_gain_adj
g_config_mr_ctrl_ang_vel_tilt_k	19		g_config_mr_ctrl_ang_vel_tilt_k		g_config_mr_ctrl_ang_vel_tilt_k
g_config_mr_ctrl_ang_vel_tilt_pi_freq	0.800000011920929		g_config_mr_ctrl_ang_vel_tilt_pi_freq		g_config_mr_ctrl_ang_vel_tilt_pi_freq
g_config_mr_ctrl_ang_vel_tilt_lead_fc	3		g_config_mr_ctrl_ang_vel_tilt_lead_fc		g_config_mr_ctrl_ang_vel_tilt_lead_fc
power_bandwidth (g_control_ang_vel_tilt_lead_fc_adj)	100	< * >	power_bandwidth		power_bandwidth
g_config_mr_ctrl_ang_vel_tilt_lead_gain	30		g_config_mr_ctrl_ang_vel_tilt_lead_gain		g_config_mr_ctrl_ang_vel_tilt_lead_gain
g_config_mr_ctrl_ang_vel_tors_gain_adj	100		g_config_mr_ctrl_ang_vel_tors_gain_adj		g_config_mr_ctrl_ang_vel_tors_gain_adj
g_config_mr_ctrl_ang_vel_tors_k	19		g_config_mr_ctrl_ang_vel_tors_k		g_config_mr_ctrl_ang_vel_tors_k
g_config_mr_ctrl_ang_vel_tors_pi_freq	0.0599999986588955		g_config_mr_ctrl_ang_vel_tors_pi_freq		g_config_mr_ctrl_ang_vel_tors_pi_freq
g_config_mr_ctrl_ang_vel_tors_lag_fc	1.20000004768372		g_config_mr_ctrl_ang_vel_tors_lag_fc		g_config_mr_ctrl_ang_vel_tors_lag_fc
g_config_mr_ctrl_ang_vel_tors_lag_gain	1.39999997615814		g_config_mr_ctrl_ang_vel_tors_lag_gain		g_config_mr_ctrl_ang_vel_tors_lag_gain
g_config_mr_ctrl_ctrl_lowpass_fp	60		g_config_mr_ctrl_ctrl_lowpass_fp		g_config_mr_ctrl_ctrl_lowpass_fp
g_config_mr_ctrl_ctrl_lowpass_fz	100		g_config_mr_ctrl_ctrl_lowpass_fz		g_config_mr_ctrl_ctrl_lowpass_fz
				< * >	g_config_mr_ctrl_ctrl_lowpass_adj
horiz_pos_gain (g_config_control_horiz_pos_gainn_adj)	130	< * >	horiz_pos_gain		horiz_pos_gain
g_config_mr_ctrl_horiz_pos_lead_fc	9		g_config_mr_ctrl_horiz_pos_lead_fc		g_config_mr_ctrl_horiz_pos_lead_fc
g_config_mr_ctrl_horiz_pos_lead_gain	1.20000004768372		g_config_mr_ctrl_horiz_pos_lead_gain		g_config_mr_ctrl_horiz_pos_lead_gain
g_config_mr_ctrl_horiz_pos_k	0.629999995231628		g_config_mr_ctrl_horiz_pos_k		g_config_mr_ctrl_horiz_pos_k
horiz_vel_gain	100		horiz_vel_gain		horiz_vel_gain
g_config_mr_ctrl_horiz_vel_k	2.70000004768372		g_config_mr_ctrl_horiz_vel_k		g_config_mr_ctrl_horiz_vel_k
g_config_mr_ctrl_horiz_vel_pi_freq	0.025000000372529		g_config_mr_ctrl_horiz_vel_pi_freq		g_config_mr_ctrl_horiz_vel_pi_freq
g_config_mr_ctrl_horiz_vel_lead_fc	1		g_config_mr_ctrl_horiz_vel_lead_fc		g_config_mr_ctrl_horiz_vel_lead_fc
g_config_mr_ctrl_horiz_vel_lead_gain	1.5		g_config_mr_ctrl_horiz_vel_lead_gain		g_config_mr_ctrl_horiz_vel_lead_gain
g_config_mr_ctrl_vert_pos_gain_adj	100		g_config_mr_ctrl_vert_pos_gain_adj		g_config_mr_ctrl_vert_pos_gain_adj
g_config_mr_ctrl_vert_pos_k	0.5		g_config_mr_ctrl_vert_pos_k		g_config_mr_ctrl_vert_pos_k
vert_vel_gain	100		vert_vel_gain		vert_vel_gain
g_config_mr_ctrl_vert_vel_k	4		g_config_mr_ctrl_vert_vel_k		g_config_mr_ctrl_vert_vel_k
g_config_mr_ctrl_vert_vel_lead_fc	1		g_config_mr_ctrl_vert_vel_lead_fc		g_config_mr_ctrl_vert_vel_lead_fc
g_config_mr_ctrl_vert_vel_lead_gain	10		g_config_mr_ctrl_vert_vel_lead_gain		g_config_mr_ctrl_vert_vel_lead_gain
g_config_mr_ctrl_vert_acc_k	3		g_config_mr_ctrl_vert_acc_k		g_config_mr_ctrl_vert_acc_k
g_config_mr_ctrl_vert_acc_pi_freq	1.5		g_config_mr_ctrl_vert_acc_pi_freq		g_config_mr_ctrl_vert_acc_pi_freq
g_config_mr_ctrl_vert_acc_lag_fc	4		g_config_mr_ctrl_vert_acc_lag_fc		g_config_mr_ctrl_vert_acc_lag_fc
g_config_mr_ctrl_vert_acc_lag_gain	4		g_config_mr_ctrl_vert_acc_lag_gain		g_config_mr_ctrl_vert_acc_lag_gain
g_config_mr_ctrl_vert_acc_i_upper_limit	80		g_config_mr_ctrl_vert_acc_i_upper_limit		g_config_mr_ctrl_vert_acc_i_upper_limit
